name,domain,industry,website,phone,mrr,arr,deal_stage,deal_amount
Acme Corporation,acme.com,COMPUTER_SOFTWARE,https://acme.com,+1-555-0100,5000,60000,negotiation,75000
TechStart Inc,techstart.io,COMPUTER_SOFTWARE,https://techstart.io,+1-555-0101,12000,144000,closed_won,150000
BuildCo,buildco.com,CONSTRUCTION,https://buildco.com,+1-555-0102,2500,30000,proposal,35000
HealthPlus,healthplus.org,HEALTH_WELLNESS_FITNESS,https://healthplus.org,+1-555-0103,8000,96000,qualified,100000
EduTech Solutions,edutech.edu,EDUCATION_MANAGEMENT,https://edutech.edu,+1-555-0104,15000,180000,closed_won,200000
RetailMax,retailmax.com,RETAIL,https://retailmax.com,+1-555-0105,3000,36000,discovery,40000
FinanceHub,financehub.com,CAPITAL_MARKETS,https://financehub.com,+1-555-0106,20000,240000,negotiation,250000
FoodCorp,foodcorp.com,FOOD_PRODUCTION,https://foodcorp.com,+1-555-0107,4500,54000,proposal,60000
TransportCo,transportco.com,TRANSPORTATION_TRUCKING_RAILROAD,https://transportco.com,+1-555-0108,7000,84000,qualified,90000
MediaGroup,mediagroup.tv,MEDIA_PRODUCTION,https://mediagroup.tv,+1-555-0109,10000,120000,closed_won,125000
